Body,TimeStep,X,Y,Z
0,0,0.0188505,1.7664e-07,0
0,1,5.62887e-07,2.88228e-14,0
0,2,1.26649e-06,9.7277e-14,0
0,3,2.25155e-06,2.30583e-13,0
0,4,3.51804e-06,4.50357e-13,0
0,5,5.06598e-06,7.78216e-13,0
0,6,6.89536e-06,1.23578e-12,0
0,7,9.00618e-06,1.84466e-12,0
0,8,1.13985e-05,2.62648e-12,0
0,9,1.40722e-05,3.60285e-12,0
0,10,1.70273e-05,4.7954e-12,0
0,11,2.02639e-05,6.22573e-12,0
0,12,2.3782e-05,7.91547e-12,0
0,13,2.75814e-05,9.88623e-12,0
0,14,3.16624e-05,1.21596e-11,0
0,15,3.60247e-05,1.47573e-11,0
0,16,4.06686e-05,1.77008e-11,0
0,17,4.55938e-05,2.10118e-11,0
0,18,5.08005e-05,2.4712e-11,0
0,19,5.62887e-05,2.88228e-11,0
0,20,6.20582e-05,3.3366e-11,0
0,21,6.81093e-05,3.83632e-11,0
0,22,7.44417e-05,4.38359e-11,0
0,23,8.10557e-05,4.98058e-11,0
0,24,8.7951e-05,5.62946e-11,0
0,25,9.51278e-05,6.33237e-11,0
0,26,0.000102586,7.09149e-11,0
0,27,0.000110326,7.90898e-11,0
0,28,0.000118347,8.787e-11,0
0,29,0.000126649,9.7277e-11,0
0,30,0.000135233,1.07333e-10,0
0,31,0.000144099,1.18058e-10,0
0,32,0.000153246,1.29476e-10,0
0,33,0.000162674,1.41607e-10,0
0,34,0.000172384,1.54472e-10,0
0,35,0.000182375,1.68095e-10,0
0,36,0.000192648,1.82495e-10,0
0,37,0.000203202,1.97696e-10,0
0,38,0.000214038,2.13718e-10,0
0,39,0.000225155,2.30583e-10,0
0,40,0.000236553,2.48312e-10,0
0,41,0.000248233,2.66928e-10,0
0,42,0.000260194,2.86452e-10,0
0,43,0.000272437,3.06905e-10,0
0,44,0.000284961,3.2831e-10,0
0,45,0.000297767,3.50687e-10,0
0,46,0.000310854,3.74059e-10,0
0,47,0.000324223,3.98447e-10,0
0,48,0.000337873,4.23872e-10,0
0,49,0.000351804,4.50357e-10,0
0,50,0.000366017,4.77922e-10,0
0,51,0.000380511,5.0659e-10,0
0,52,0.000395287,5.36382e-10,0
0,53,0.000410344,5.6732e-10,0
0,54,0.000425683,5.99425e-10,0
0,55,0.000441303,6.32718e-10,0
0,56,0.000457205,6.67223e-10,0
0,57,0.000473388,7.0296e-10,0
0,58,0.000489852,7.3995e-10,0
0,59,0.000506598,7.78216e-10,0
0,60,0.000523625,8.17779e-10,0
0,61,0.000540934,8.58661e-10,0
0,62,0.000558524,9.00882e-10,0
0,63,0.000576396,9.44466e-10,0
0,64,0.000594549,9.89433e-10,0
0,65,0.000612983,1.03581e-09,0
0,66,0.000631699,1.0836e-09,0
0,67,0.000650697,1.13285e-09,0
0,68,0.000669976,1.18357e-09,0
0,69,0.000689536,1.23578e-09,0
0,70,0.000709378,1.2895e-09,0
0,71,0.000729501,1.34476e-09,0
0,72,0.000749906,1.40157e-09,0
0,73,0.000770592,1.45996e-09,0
0,74,0.000791559,1.51995e-09,0
0,75,0.000812808,1.58157e-09,0
0,76,0.000834339,1.64482e-09,0
0,77,0.00085615,1.70974e-09,0
0,78,0.000878244,1.77635e-09,0
0,79,0.000900618,1.84466e-09,0
0,80,0.000923275,1.9147e-09,0
0,81,0.000946212,1.9865e-09,0
0,82,0.000969431,2.06006e-09,0
0,83,0.000992932,2.13542e-09,0
0,84,0.00101671,2.2126e-09,0
0,85,0.00104078,2.29162e-09,0
0,86,0.00106512,2.37249e-09,0
0,87,0.00108975,2.45524e-09,0
0,88,0.00111466,2.5399e-09,0
0,89,0.00113985,2.62648e-09,0
0,90,0.00116532,2.715e-09,0
0,91,0.00119107,2.8055e-09,0
0,92,0.0012171,2.89798e-09,0
0,93,0.00124342,2.99247e-09,0
0,94,0.00127001,3.089e-09,0
0,95,0.00129689,3.18757e-09,0
0,96,0.00132405,3.28823e-09,0
0,97,0.00135149,3.39098e-09,0
0,98,0.00137921,3.49584e-09,0
0,99,0.00140722,3.60285e-09,0
1,0,5.791e+10,1.73345e+07,0
1,1,5.791e+10,94724,0
1,2,5.791e+10,142086,0
1,3,5.791e+10,189448,0
1,4,5.791e+10,236810,0
1,5,5.791e+10,284172,0
1,6,5.791e+10,331534,0
1,7,5.791e+10,378896,0
1,8,5.791e+10,426258,0
1,9,5.791e+10,473620,0
1,10,5.791e+10,520982,0
1,11,5.791e+10,568344,0
1,12,5.791e+10,615706,0
1,13,5.791e+10,663068,0
1,14,5.791e+10,710430,0
1,15,5.791e+10,757792,0
1,16,5.791e+10,805154,0
1,17,5.791e+10,852516,0
1,18,5.791e+10,899878,0
1,19,5.791e+10,947240,0
1,20,5.791e+10,994602,0
1,21,5.791e+10,1.04196e+06,0
1,22,5.791e+10,1.08933e+06,0
1,23,5.791e+10,1.13669e+06,0
1,24,5.791e+10,1.18405e+06,0
1,25,5.791e+10,1.23141e+06,0
1,26,5.791e+10,1.27877e+06,0
1,27,5.791e+10,1.32614e+06,0
1,28,5.791e+10,1.3735e+06,0
1,29,5.791e+10,1.42086e+06,0
1,30,5.791e+10,1.46822e+06,0
1,31,5.791e+10,1.51558e+06,0
1,32,5.791e+10,1.56295e+06,0
1,33,5.791e+10,1.61031e+06,0
1,34,5.791e+10,1.65767e+06,0
1,35,5.791e+10,1.70503e+06,0
1,36,5.791e+10,1.75239e+06,0
1,37,5.791e+10,1.79976e+06,0
1,38,5.791e+10,1.84712e+06,0
1,39,5.791e+10,1.89448e+06,0
1,40,5.791e+10,1.94184e+06,0
1,41,5.791e+10,1.9892e+06,0
1,42,5.791e+10,2.03657e+06,0
1,43,5.791e+10,2.08393e+06,0
1,44,5.791e+10,2.13129e+06,0
1,45,5.791e+10,2.17865e+06,0
1,46,5.791e+10,2.22601e+06,0
1,47,5.791e+10,2.27338e+06,0
1,48,5.791e+10,2.32074e+06,0
1,49,5.791e+10,2.3681e+06,0
1,50,5.791e+10,2.41546e+06,0
1,51,5.791e+10,2.46282e+06,0
1,52,5.791e+10,2.51019e+06,0
1,53,5.791e+10,2.55755e+06,0
1,54,5.791e+10,2.60491e+06,0
1,55,5.791e+10,2.65227e+06,0
1,56,5.791e+10,2.69963e+06,0
1,57,5.791e+10,2.747e+06,0
1,58,5.791e+10,2.79436e+06,0
1,59,5.791e+10,2.84172e+06,0
1,60,5.791e+10,2.88908e+06,0
1,61,5.791e+10,2.93644e+06,0
1,62,5.791e+10,2.98381e+06,0
1,63,5.791e+10,3.03117e+06,0
1,64,5.791e+10,3.07853e+06,0
1,65,5.791e+10,3.12589e+06,0
1,66,5.791e+10,3.17325e+06,0
1,67,5.791e+10,3.22062e+06,0
1,68,5.791e+10,3.26798e+06,0
1,69,5.791e+10,3.31534e+06,0
1,70,5.791e+10,3.3627e+06,0
1,71,5.791e+10,3.41006e+06,0
1,72,5.791e+10,3.45743e+06,0
1,73,5.791e+10,3.50479e+06,0
1,74,5.791e+10,3.55215e+06,0
1,75,5.791e+10,3.59951e+06,0
1,76,5.791e+10,3.64687e+06,0
1,77,5.791e+10,3.69424e+06,0
1,78,5.791e+10,3.7416e+06,0
1,79,5.791e+10,3.78896e+06,0
1,80,5.791e+10,3.83632e+06,0
1,81,5.791e+10,3.88368e+06,0
1,82,5.791e+10,3.93105e+06,0
1,83,5.791e+10,3.97841e+06,0
1,84,5.791e+10,4.02577e+06,0
1,85,5.791e+10,4.07313e+06,0
1,86,5.791e+10,4.12049e+06,0
1,87,5.791e+10,4.16786e+06,0
1,88,5.791e+10,4.21522e+06,0
1,89,5.791e+10,4.26258e+06,0
1,90,5.791e+10,4.30994e+06,0
1,91,5.791e+10,4.3573e+06,0
1,92,5.791e+10,4.40467e+06,0
1,93,5.791e+10,4.45203e+06,0
1,94,5.791e+10,4.49939e+06,0
1,95,5.791e+10,4.54675e+06,0
1,96,5.791e+10,4.59411e+06,0
1,97,5.791e+10,4.64148e+06,0
1,98,5.791e+10,4.68884e+06,0
1,99,5.791e+10,4.7362e+06,0
2,0,1.0821e+11,1.28181e+07,0
2,1,1.0821e+11,70044,0
2,2,1.0821e+11,105066,0
2,3,1.0821e+11,140088,0
2,4,1.0821e+11,175110,0
2,5,1.0821e+11,210132,0
2,6,1.0821e+11,245154,0
2,7,1.0821e+11,280176,0
2,8,1.0821e+11,315198,0
2,9,1.0821e+11,350220,0
2,10,1.0821e+11,385242,0
2,11,1.0821e+11,420264,0
2,12,1.0821e+11,455286,0
2,13,1.0821e+11,490308,0
2,14,1.0821e+11,525330,0
2,15,1.0821e+11,560352,0
2,16,1.0821e+11,595374,0
2,17,1.0821e+11,630396,0
2,18,1.0821e+11,665418,0
2,19,1.0821e+11,700440,0
2,20,1.0821e+11,735462,0
2,21,1.0821e+11,770484,0
2,22,1.0821e+11,805506,0
2,23,1.0821e+11,840528,0
2,24,1.0821e+11,875550,0
2,25,1.0821e+11,910572,0
2,26,1.0821e+11,945594,0
2,27,1.0821e+11,980616,0
2,28,1.0821e+11,1.01564e+06,0
2,29,1.0821e+11,1.05066e+06,0
2,30,1.0821e+11,1.08568e+06,0
2,31,1.0821e+11,1.1207e+06,0
2,32,1.0821e+11,1.15573e+06,0
2,33,1.0821e+11,1.19075e+06,0
2,34,1.0821e+11,1.22577e+06,0
2,35,1.0821e+11,1.26079e+06,0
2,36,1.0821e+11,1.29581e+06,0
2,37,1.0821e+11,1.33084e+06,0
2,38,1.0821e+11,1.36586e+06,0
2,39,1.0821e+11,1.40088e+06,0
2,40,1.0821e+11,1.4359e+06,0
2,41,1.0821e+11,1.47092e+06,0
2,42,1.0821e+11,1.50595e+06,0
2,43,1.0821e+11,1.54097e+06,0
2,44,1.0821e+11,1.57599e+06,0
2,45,1.0821e+11,1.61101e+06,0
2,46,1.0821e+11,1.64603e+06,0
2,47,1.0821e+11,1.68106e+06,0
2,48,1.0821e+11,1.71608e+06,0
2,49,1.0821e+11,1.7511e+06,0
2,50,1.0821e+11,1.78612e+06,0
2,51,1.0821e+11,1.82114e+06,0
2,52,1.0821e+11,1.85617e+06,0
2,53,1.0821e+11,1.89119e+06,0
2,54,1.0821e+11,1.92621e+06,0
2,55,1.0821e+11,1.96123e+06,0
2,56,1.0821e+11,1.99625e+06,0
2,57,1.0821e+11,2.03128e+06,0
2,58,1.0821e+11,2.0663e+06,0
2,59,1.0821e+11,2.10132e+06,0
2,60,1.0821e+11,2.13634e+06,0
2,61,1.0821e+11,2.17136e+06,0
2,62,1.0821e+11,2.20639e+06,0
2,63,1.0821e+11,2.24141e+06,0
2,64,1.0821e+11,2.27643e+06,0
2,65,1.0821e+11,2.31145e+06,0
2,66,1.0821e+11,2.34647e+06,0
2,67,1.0821e+11,2.3815e+06,0
2,68,1.0821e+11,2.41652e+06,0
2,69,1.0821e+11,2.45154e+06,0
2,70,1.0821e+11,2.48656e+06,0
2,71,1.0821e+11,2.52158e+06,0
2,72,1.0821e+11,2.55661e+06,0
2,73,1.0821e+11,2.59163e+06,0
2,74,1.0821e+11,2.62665e+06,0
2,75,1.0821e+11,2.66167e+06,0
2,76,1.0821e+11,2.69669e+06,0
2,77,1.0821e+11,2.73172e+06,0
2,78,1.0821e+11,2.76674e+06,0
2,79,1.0821e+11,2.80176e+06,0
2,80,1.0821e+11,2.83678e+06,0
2,81,1.0821e+11,2.8718e+06,0
2,82,1.0821e+11,2.90683e+06,0
2,83,1.0821e+11,2.94185e+06,0
2,84,1.0821e+11,2.97687e+06,0
2,85,1.0821e+11,3.01189e+06,0
2,86,1.0821e+11,3.04691e+06,0
2,87,1.0821e+11,3.08194e+06,0
2,88,1.0821e+11,3.11696e+06,0
2,89,1.0821e+11,3.15198e+06,0
2,90,1.0821e+11,3.187e+06,0
2,91,1.0821e+11,3.22202e+06,0
2,92,1.0821e+11,3.25705e+06,0
2,93,1.0821e+11,3.29207e+06,0
2,94,1.0821e+11,3.32709e+06,0
2,95,1.0821e+11,3.36211e+06,0
2,96,1.0821e+11,3.39713e+06,0
2,97,1.0821e+11,3.43216e+06,0
2,98,1.0821e+11,3.46718e+06,0
2,99,1.0821e+11,3.5022e+06,0
3,0,1.496e+11,1.09006e+07,0
3,1,1.496e+11,59566,0
3,2,1.496e+11,89349,0
3,3,1.496e+11,119132,0
3,4,1.496e+11,148915,0
3,5,1.496e+11,178698,0
3,6,1.496e+11,208481,0
3,7,1.496e+11,238264,0
3,8,1.496e+11,268047,0
3,9,1.496e+11,297830,0
3,10,1.496e+11,327613,0
3,11,1.496e+11,357396,0
3,12,1.496e+11,387179,0
3,13,1.496e+11,416962,0
3,14,1.496e+11,446745,0
3,15,1.496e+11,476528,0
3,16,1.496e+11,506311,0
3,17,1.496e+11,536094,0
3,18,1.496e+11,565877,0
3,19,1.496e+11,595660,0
3,20,1.496e+11,625443,0
3,21,1.496e+11,655226,0
3,22,1.496e+11,685009,0
3,23,1.496e+11,714792,0
3,24,1.496e+11,744575,0
3,25,1.496e+11,774358,0
3,26,1.496e+11,804141,0
3,27,1.496e+11,833924,0
3,28,1.496e+11,863707,0
3,29,1.496e+11,893490,0
3,30,1.496e+11,923273,0
3,31,1.496e+11,953056,0
3,32,1.496e+11,982839,0
3,33,1.496e+11,1.01262e+06,0
3,34,1.496e+11,1.0424e+06,0
3,35,1.496e+11,1.07219e+06,0
3,36,1.496e+11,1.10197e+06,0
3,37,1.496e+11,1.13175e+06,0
3,38,1.496e+11,1.16154e+06,0
3,39,1.496e+11,1.19132e+06,0
3,40,1.496e+11,1.2211e+06,0
3,41,1.496e+11,1.25089e+06,0
3,42,1.496e+11,1.28067e+06,0
3,43,1.496e+11,1.31045e+06,0
3,44,1.496e+11,1.34024e+06,0
3,45,1.496e+11,1.37002e+06,0
3,46,1.496e+11,1.3998e+06,0
3,47,1.496e+11,1.42958e+06,0
3,48,1.496e+11,1.45937e+06,0
3,49,1.496e+11,1.48915e+06,0
3,50,1.496e+11,1.51893e+06,0
3,51,1.496e+11,1.54872e+06,0
3,52,1.496e+11,1.5785e+06,0
3,53,1.496e+11,1.60828e+06,0
3,54,1.496e+11,1.63806e+06,0
3,55,1.496e+11,1.66785e+06,0
