2025-05-14 22:22:25 [INFO] Logging to file: logs/spacecraft_server_20250514_222225.log
2025-05-14 22:22:25 [INFO] Starting spacecraft server on tcp://*:5555
2025-05-14 22:22:25 [INFO] Spacecraft server initialized
2025-05-14 22:22:25 [INFO] Type 'test' or 'runtest' to execute integration tests while server is running
2025-05-14 22:22:25 [INFO] Type 'exit' or 'quit' to stop the server
2025-05-14 22:22:25 [INFO] Type 'help' for available commands
2025-05-14 22:22:25 [INFO] Binding to tcp://*:5555
2025-05-14 22:22:25 [INFO] Server bound to tcp://*:5555
2025-05-14 22:22:25 [INFO] Environment socket bound to tcp://*:5556
2025-05-14 22:22:25 [INFO] [Safety] Safety monitoring system started
2025-05-14 22:22:25 [INFO] Server started successfully
2025-05-14 22:22:25 [INFO] Starting environment message loop
2025-05-14 22:23:53 [WARNING] [Safety] High temperature detected: 75.029475
2025-05-14 22:23:53 [WARNING] [Safety] High temperature detected: 75.282813
2025-05-14 22:23:53 [WARNING] [Safety] High temperature detected: 75.292152
2025-05-14 22:23:53 [WARNING] [Safety] High temperature detected: 75.510826
2025-05-14 22:23:54 [WARNING] [Safety] High temperature detected: 75.430790
2025-05-14 22:23:54 [WARNING] [Safety] High temperature detected: 75.235942
2025-05-14 22:23:54 [WARNING] [Safety] High temperature detected: 75.175515
2025-05-14 22:23:54 [WARNING] [Safety] High temperature detected: 75.007005
2025-05-14 22:23:54 [WARNING] [Safety] High temperature detected: 75.003886
2025-05-14 22:23:54 [WARNING] [Safety] High temperature detected: 75.203016
2025-05-14 22:23:55 [WARNING] [Safety] High temperature detected: 75.116938
2025-05-14 22:23:55 [WARNING] [Safety] High temperature detected: 75.019770
2025-05-14 22:23:55 [WARNING] [Safety] High temperature detected: 75.299716
2025-05-14 22:23:55 [WARNING] [Safety] High temperature detected: 75.270275
2025-05-14 22:23:55 [WARNING] [Safety] High temperature detected: 75.112742
2025-05-14 22:23:55 [WARNING] [Safety] High temperature detected: 75.325718
2025-05-14 22:23:55 [WARNING] [Safety] High temperature detected: 75.238036
2025-05-14 22:23:56 [WARNING] [Safety] High temperature detected: 75.183253
2025-05-14 22:23:56 [WARNING] [Safety] High temperature detected: 75.119190
2025-05-14 22:23:56 [WARNING] [Safety] High temperature detected: 75.132342
2025-05-14 22:23:56 [WARNING] [Safety] High temperature detected: 75.106191
2025-05-14 22:23:56 [WARNING] [Safety] High temperature detected: 75.114973
2025-05-14 22:23:56 [WARNING] [Safety] High temperature detected: 75.001595
2025-05-14 22:23:56 [WARNING] [Safety] High temperature detected: 75.078763
2025-05-14 22:23:56 [WARNING] [Safety] High temperature detected: 75.305121
2025-05-14 22:23:57 [WARNING] [Safety] High temperature detected: 75.177909
2025-05-14 22:23:57 [WARNING] [Safety] High temperature detected: 75.242905
2025-05-14 22:23:57 [WARNING] [Safety] High temperature detected: 75.076274
2025-05-14 22:23:57 [WARNING] [Safety] High temperature detected: 75.057792
2025-05-14 22:23:57 [WARNING] [Safety] High temperature detected: 75.101617
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 75.145055
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 75.442399
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 75.489152
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 75.300808
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 75.353529
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 75.252088
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 75.329041
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 75.597777
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 75.858202
2025-05-14 22:23:58 [WARNING] [Safety] High temperature detected: 76.112288
2025-05-14 22:23:59 [WARNING] [Safety] High temperature detected: 76.009525
2025-05-14 22:23:59 [WARNING] [Safety] High temperature detected: 75.980614
2025-05-14 22:23:59 [WARNING] [Safety] High temperature detected: 75.805060
2025-05-14 22:23:59 [WARNING] [Safety] High temperature detected: 75.707923
2025-05-14 22:23:59 [WARNING] [Safety] High temperature detected: 75.893699
2025-05-14 22:23:59 [WARNING] [Safety] High temperature detected: 76.162943
2025-05-14 22:23:59 [WARNING] [Safety] High temperature detected: 76.362980
2025-05-14 22:23:59 [WARNING] [Safety] High temperature detected: 76.263315
2025-05-14 22:23:59 [WARNING] [Safety] High temperature detected: 76.064620
2025-05-14 22:24:00 [WARNING] [Safety] High temperature detected: 76.173655
2025-05-14 22:24:00 [WARNING] [Safety] High temperature detected: 76.135227
2025-05-14 22:24:00 [WARNING] [Safety] High temperature detected: 76.238783
2025-05-14 22:24:00 [WARNING] [Safety] High temperature detected: 76.121082
2025-05-14 22:24:00 [WARNING] [Safety] High temperature detected: 76.268629
2025-05-14 22:24:00 [WARNING] [Safety] High temperature detected: 76.350038
2025-05-14 22:24:00 [WARNING] [Safety] High temperature detected: 76.644006
2025-05-14 22:24:00 [WARNING] [Safety] High temperature detected: 76.468304
2025-05-14 22:24:00 [WARNING] [Safety] High temperature detected: 76.510575
2025-05-14 22:24:01 [WARNING] [Safety] High temperature detected: 76.670858
2025-05-14 22:24:01 [WARNING] [Safety] High temperature detected: 76.861740
2025-05-14 22:24:01 [WARNING] [Safety] High temperature detected: 77.097019
2025-05-14 22:24:01 [WARNING] [Safety] High temperature detected: 77.026047
2025-05-14 22:24:01 [WARNING] [Safety] High temperature detected: 77.072532
2025-05-14 22:24:01 [WARNING] [Safety] High temperature detected: 77.104523
2025-05-14 22:24:01 [WARNING] [Safety] High temperature detected: 77.134362
2025-05-14 22:24:01 [WARNING] [Safety] High temperature detected: 77.124102
2025-05-14 22:24:01 [WARNING] [Safety] High temperature detected: 77.359299
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 77.256352
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 77.477290
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 77.404130
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 77.350559
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 77.267207
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 77.204350
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 77.216249
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 77.127518
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 77.107048
2025-05-14 22:24:02 [WARNING] [Safety] High temperature detected: 76.982875
2025-05-14 22:24:03 [WARNING] [Safety] High temperature detected: 76.862277
2025-05-14 22:24:03 [WARNING] [Safety] High temperature detected: 77.077792
2025-05-14 22:24:03 [WARNING] [Safety] High temperature detected: 77.185451
2025-05-14 22:24:03 [WARNING] [Safety] High temperature detected: 77.374853
2025-05-14 22:24:03 [WARNING] [Safety] High temperature detected: 77.473344
2025-05-14 22:24:03 [WARNING] [Safety] High temperature detected: 77.670794
2025-05-14 22:24:03 [WARNING] [Safety] High temperature detected: 77.547158
2025-05-14 22:24:03 [WARNING] [Safety] High temperature detected: 77.634778
2025-05-14 22:24:03 [WARNING] [Safety] High temperature detected: 77.886425
2025-05-14 22:24:04 [WARNING] [Safety] High temperature detected: 77.837807
2025-05-14 22:24:04 [WARNING] [Safety] High temperature detected: 77.959000
2025-05-14 22:24:04 [WARNING] [Safety] High temperature detected: 77.890317
2025-05-14 22:24:04 [WARNING] [Safety] High temperature detected: 77.885150
2025-05-14 22:24:04 [WARNING] [Safety] High temperature detected: 77.776863
2025-05-14 22:24:04 [WARNING] [Safety] High temperature detected: 77.925217
2025-05-14 22:24:04 [WARNING] [Safety] High temperature detected: 78.148469
2025-05-14 22:24:04 [WARNING] [Safety] High temperature detected: 78.021841
2025-05-14 22:24:04 [WARNING] [Safety] High temperature detected: 78.040312
2025-05-14 22:24:05 [WARNING] [Safety] High temperature detected: 77.873911
2025-05-14 22:24:05 [WARNING] [Safety] High temperature detected: 77.821137
2025-05-14 22:24:05 [WARNING] [Safety] High temperature detected: 77.884153
2025-05-14 22:24:05 [WARNING] [Safety] High temperature detected: 77.779344
2025-05-14 22:24:05 [WARNING] [Safety] High temperature detected: 77.591639
